_H:	|batch	|epoch	%avg_sse	%cnt_err	%test_cnt_err	%test_avg_sse	%avg_cycles	%epoch_time_tot	%epoch_time_usr
_D:	0	334	0.188305	124	24	0.319809	39.9249	6.76	6.67
_D:	0	335	0.161011	105	10	0.137261	40.3778	6.71	6.62
_D:	0	336	0.169973	112	12	0.156501	40.4679	6.76	6.67
_D:	0	337	0.17992	119	22	0.290372	40.6062	6.75	6.66
_D:	0	338	0.167845	108	19	0.243869	40.4438	6.8	6.7
_D:	0	339	0.189272	127	12	0.160591	40.1033	6.81	6.74
_D:	0	340	0.157465	106	19	0.250357	40.1113	6.82	6.74
_D:	0	341	0.147113	100	14	0.188548	40.4296	6.79	6.7
_D:	0	342	0.135064	91	19	0.257608	40.2629	6.86	6.74
_D:	0	343	0.163064	112	21	0.283466	40.0998	6.86	6.77
_D:	0	344	0.1394	90	15	0.200855	40.1282	6.81	6.72
_D:	0	345	0.133543	88	11	0.143622	40.1678	6.78	6.66
_D:	0	346	0.16136	105	23	0.310141	40.1863	6.85	6.75
_D:	0	347	0.142271	92	18	0.245037	40.434	6.85	6.75
_D:	0	348	0.19371	131	16	0.214718	40.2686	6.77	6.7
_D:	0	349	0.161557	109	21	0.286965	39.9241	6.81	6.74
_D:	0	350	0.147221	99	16	0.219747	39.9177	6.79	6.72
_D:	0	351	0.185578	122	14	0.188339	40.8474	6.89	6.8
_D:	0	352	0.178465	122	19	0.258488	40.5306	6.82	6.72
_D:	0	353	0.236153	161	14	0.186152	40.9067	6.9	6.82
_D:	0	354	0.155649	106	14	0.187124	40.3936	6.91	6.78
_D:	0	355	0.176624	117	13	0.176653	40.5569	6.79	6.72
_D:	0	356	0.163201	106	17	0.22834	40.5717	6.83	6.75
_D:	0	357	0.194081	131	21	0.283246	40.6777	6.86	6.77
_D:	0	358	0.165874	109	16	0.217299	40.6997	6.95	6.86
_D:	0	359	0.158886	105	19	0.247182	40.2799	6.93	6.83
_D:	0	360	0.181542	123	23	0.306086	40.7307	6.89	6.82
_D:	0	361	0.182676	118	25	0.340735	40.564	6.87	6.79
_D:	0	362	0.183985	120	19	0.258943	40.5286	6.88	6.79
_D:	0	363	0.200308	133	11	0.150392	41.17	6.95	6.84
_D:	0	364	0.185985	125	8	0.109031	40.9768	6.93	6.85
_D:	0	365	0.119523	81	12	0.16248	40.8244	6.92	6.81
_D:	0	366	0.208519	139	21	0.283503	41.2392	6.99	6.91
_D:	0	367	0.19171	129	21	0.276408	41.0152	7.07	6.95
_D:	0	368	0.178993	120	13	0.172754	40.7775	6.98	6.92
_D:	0	369	0.213448	141	14	0.188017	40.9518	6.92	6.84
_D:	0	370	0.174436	117	16	0.216437	41.4588	6.98	6.88
_D:	0	371	0.167098	111	18	0.245334	40.7624	6.88	6.8
_D:	0	372	0.1441	93	18	0.24425	40.9221	6.92	6.84
_D:	0	373	0.183133	123	14	0.177638	41.101	6.96	6.88
_D:	0	374	0.179116	120	13	0.177805	40.8324	6.87	6.77
_D:	0	375	0.160174	105	20	0.272651	40.8583	6.98	6.87
_D:	0	376	0.18878	127	20	0.274366	41.5773	6.92	6.84
_D:	0	377	0.16837	110	18	0.244267	41.0263	6.98	6.87
_D:	0	378	0.183058	114	16	0.218866	40.9076	6.95	6.84
_D:	0	379	0.161433	104	19	0.258518	41.3035	6.95	6.86
_D:	0	380	0.188973	126	23	0.307278	41.1431	6.92	6.8
_D:	0	381	0.146975	94	18	0.24449	40.3227	6.92	6.81
_D:	0	382	0.166132	107	20	0.262041	41.0369	6.86	6.77
_D:	0	383	0.1541	101	15	0.201695	41.1298	6.9	6.84
_D:	0	384	0.177999	119	31	0.42426	41.254	6.95	6.83
_D:	0	385	0.171398	115	25	0.341062	41.2944	7	6.95
_D:	0	386	0.158135	106	16	0.218313	41.0472	6.95	6.82
_D:	0	387	0.15768	98	18	0.238188	41.3807	6.91	6.82
_D:	0	388	0.136478	89	17	0.231208	40.6348	6.95	6.84
_D:	0	389	0.176774	115	22	0.299932	41.1256	6.98	6.88
